Macrotrends Data Download

World Infant Mortality Rate 1950-2023
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 Live Births, Annual % Change
1950-12-31,146.687
1951-12-31,144.316,-1.62
1952-12-31,141.945,-1.64
1953-12-31,139.574,-1.67
1954-12-31,137.203,-1.7
1955-12-31,134.832,-1.73
1956-12-31,132.461,-1.76
1957-12-31,130.09,-1.79
1958-12-31,127.719,-1.82
1959-12-31,126.246,-1.15
1960-12-31,124.773,-1.17
1961-12-31,123.299,-1.18
1962-12-31,121.826,-1.19
1963-12-31,120.353,-1.21
1964-12-31,117.108,-2.7
1965-12-31,113.864,-2.77
1966-12-31,110.619,-2.85
1967-12-31,107.375,-2.93
1968-12-31,104.13,-3.02
1969-12-31,102.103,-1.95
1970-12-31,100.076,-1.99
1971-12-31,98.049,-2.03
1972-12-31,96.022,-2.07
1973-12-31,93.995,-2.11
1974-12-31,92.176,-1.94
1975-12-31,90.356,-1.97
1976-12-31,88.537,-2.01
1977-12-31,86.717,-2.06
1978-12-31,84.898,-2.1
1979-12-31,82.975,-2.27
1980-12-31,81.051,-2.32
1981-12-31,79.128,-2.37
1982-12-31,77.204,-2.43
1983-12-31,75.281,-2.49
1984-12-31,73.599,-2.23
1985-12-31,71.917,-2.29
1986-12-31,70.236,-2.34
1987-12-31,68.554,-2.39
1988-12-31,66.872,-2.45
1989-12-31,66.079,-1.19
1990-12-31,65.286,-1.2
1991-12-31,64.492,-1.22
1992-12-31,63.699,-1.23
1993-12-31,62.906,-1.24
1994-12-31,61.698,-1.92
1995-12-31,60.49,-1.96
1996-12-31,59.283,-2
1997-12-31,58.075,-2.04
1998-12-31,56.867,-2.08
1999-12-31,55.337,-2.69
2000-12-31,53.807,-2.76
2001-12-31,52.276,-2.85
2002-12-31,50.746,-2.93
2003-12-31,49.216,-3.02
2004-12-31,47.568,-3.35
2005-12-31,45.921,-3.46
2006-12-31,44.273,-3.59
2007-12-31,42.626,-3.72
2008-12-31,40.978,-3.87
2009-12-31,39.565,-3.45
2010-12-31,38.153,-3.57
2011-12-31,36.74,-3.7
2012-12-31,35.328,-3.84
2013-12-31,33.915,-4
2014-12-31,32.983,-2.75
2015-12-31,32.051,-2.83
2016-12-31,31.12,-2.9
2017-12-31,30.188,-2.99
2018-12-31,29.256,-3.09
2019-12-31,28.615,-2.19
2020-12-31,27.974,-2.24
2021-12-31,27.334,-2.29
2022-12-31,26.693,-2.35
2023-12-31,26.052,-2.4
2024-12-31,25.519,-2.05
2025-12-31,24.986,-2.09
2026-12-31,24.453,-2.13
2027-12-31,23.92,-2.18
2028-12-31,23.387,-2.23
2029-12-31,22.924,-1.98
2030-12-31,22.462,-2.02
2031-12-31,21.999,-2.06
2032-12-31,21.537,-2.1
2033-12-31,21.074,-2.15
2034-12-31,20.68,-1.87
2035-12-31,20.287,-1.9
2036-12-31,19.893,-1.94
2037-12-31,19.5,-1.98
2038-12-31,19.106,-2.02
2039-12-31,18.768,-1.77
2040-12-31,18.43,-1.8
2041-12-31,18.093,-1.83
2042-12-31,17.755,-1.87
2043-12-31,17.417,-1.9
2044-12-31,17.13,-1.65
2045-12-31,16.843,-1.68
2046-12-31,16.556,-1.7
2047-12-31,16.269,-1.73
2048-12-31,15.982,-1.76
2049-12-31,15.742,-1.5
2050-12-31,15.502,-1.52
2051-12-31,15.263,-1.54
2052-12-31,15.023,-1.57
2053-12-31,14.783,-1.6
2054-12-31,14.577,-1.39
2055-12-31,14.371,-1.41
2056-12-31,14.164,-1.44
2057-12-31,13.958,-1.45
2058-12-31,13.752,-1.48
2059-12-31,13.574,-1.29
2060-12-31,13.396,-1.31
2061-12-31,13.218,-1.33
2062-12-31,13.04,-1.35
2063-12-31,12.862,-1.37
2064-12-31,12.701,-1.25
2065-12-31,12.54,-1.27
2066-12-31,12.38,-1.28
2067-12-31,12.219,-1.3
2068-12-31,12.058,-1.32
2069-12-31,11.915,-1.19
2070-12-31,11.772,-1.2
2071-12-31,11.629,-1.21
2072-12-31,11.486,-1.23
2073-12-31,11.343,-1.24
2074-12-31,11.214,-1.14
2075-12-31,11.085,-1.15
2076-12-31,10.956,-1.16
2077-12-31,10.827,-1.18
2078-12-31,10.698,-1.19
2079-12-31,10.583,-1.07
2080-12-31,10.467,-1.1
2081-12-31,10.352,-1.1
2082-12-31,10.236,-1.12
2083-12-31,10.121,-1.12
2084-12-31,10.019,-1.01
2085-12-31,9.916,-1.03
2086-12-31,9.814,-1.03
2087-12-31,9.711,-1.05
2088-12-31,9.609,-1.05
2089-12-31,9.517,-0.96
2090-12-31,9.426,-0.96
2091-12-31,9.334,-0.98
2092-12-31,9.243,-0.97
2093-12-31,9.151,-1
2094-12-31,9.065,-0.94
2095-12-31,8.98,-0.94
2096-12-31,8.894,-0.96
2097-12-31,8.809,-0.96
2098-12-31,8.723,-0.98
2099-12-31,8.637,-0.99
2100-12-31,8.552,-0.98
