date,Population, Annual % Change
31/12/1950,2499322157,
31/12/1951,2543130380,1.75
31/12/1952,2590270899,1.85
31/12/1953,2640278797,1.93
31/12/1954,2691979339,1.96
31/12/1955,2746072141,2.01
31/12/1956,2801002631,2
31/12/1957,2857866857,2.03
31/12/1958,2916108097,2.04
31/12/1959,2970292188,1.86
31/12/1960,3019233434,1.65
31/12/1961,3068370609,1.63
31/12/1962,3126686743,1.9
31/12/1963,3195779247,2.21
31/12/1964,3267212338,2.24
31/12/1965,3337111983,2.14
31/12/1966,3406417036,2.08
31/12/1967,3475448166,2.03
31/12/1968,3546810808,2.05
31/12/1969,3620655275,2.08
31/12/1970,3695390336,2.06
31/12/1971,3770163092,2.02
31/12/1972,3844800885,1.98
31/12/1973,3920251504,1.96
31/12/1974,3995517077,1.92
31/12/1975,4069437231,1.85
31/12/1976,4142505882,1.8
31/12/1977,4215772490,1.77
31/12/1978,4289657708,1.75
31/12/1979,4365582871,1.77
31/12/1980,4444007706,1.8
31/12/1981,4524627658,1.81
31/12/1982,4607984871,1.84
31/12/1983,4691884238,1.82
31/12/1984,4775836074,1.79
31/12/1985,4861730613,1.8
31/12/1986,4950063339,1.82
31/12/1987,5040984495,1.84
31/12/1988,5132293974,1.81
31/12/1989,5223704308,1.78
31/12/1990,5316175862,1.77
31/12/1991,5406245867,1.69
31/12/1992,5492686093,1.6
31/12/1993,5577433523,1.54
31/12/1994,5660727993,1.49
31/12/1995,5743219454,1.46
31/12/1996,5825145298,1.43
31/12/1997,5906481261,1.4
31/12/1998,5987312480,1.37
31/12/1999,6067758458,1.34
31/12/2000,6148898975,1.34
31/12/2001,6230746982,1.33
31/12/2002,6312407360,1.31
31/12/2003,6393898365,1.29
31/12/2004,6475751478,1.28
31/12/2005,6558176119,1.27
31/12/2006,6641416218,1.27
31/12/2007,6725948544,1.27
31/12/2008,6811597272,1.27
31/12/2009,6898305908,1.27
31/12/2010,6985603105,1.27
31/12/2011,7073125425,1.25
31/12/2012,7161697921,1.25
31/12/2013,7250593370,1.24
31/12/2014,7339013419,1.22
31/12/2015,7426597537,1.19
31/12/2016,7513474238,1.17
31/12/2017,7599822404,1.15
31/12/2018,7683789828,1.1
31/12/2019,7764951032,1.06
31/12/2020,7840952880,0.98
31/12/2021,7909295151,0.87
31/12/2022,7975105156,0.83
31/12/2023,8045311447,0.88
31/12/2024,8118835999,0.91
31/12/2025,8191988453,0.9
31/12/2026,8264364509,0.88
31/12/2027,8335977671,0.87
31/12/2028,8406828792,0.85
31/12/2029,8476889391,0.83
31/12/2030,8546141327,0.82
31/12/2031,8614532745,0.8
31/12/2032,8682091984,0.78
31/12/2033,8748798542,0.77
31/12/2034,8814575171,0.75
31/12/2035,8879397401,0.74
31/12/2036,8943206702,0.72
31/12/2037,9006026370,0.7
31/12/2038,9067889026,0.69
31/12/2039,9128661215,0.67
31/12/2040,9188250492,0.65
31/12/2041,9246673300,0.64
31/12/2042,9303896851,0.62
31/12/2043,9359836420,0.6
31/12/2044,9414408423,0.58
31/12/2045,9467543575,0.56
31/12/2046,9519190804,0.55
31/12/2047,9569297886,0.53
31/12/2048,9617774470,0.51
31/12/2049,9664516146,0.49
31/12/2050,9709491761,0.47
31/12/2051,9752656916,0.44
31/12/2052,9794102043,0.42
31/12/2053,9833861191,0.41
31/12/2054,9871900602,0.39
31/12/2055,9908304869,0.37
31/12/2056,9943123262,0.35
31/12/2057,9976440150,0.34
31/12/2058,10008310110,0.32
31/12/2059,10038705860,0.3
31/12/2060,10067733610,0.29
31/12/2061,10095573060,0.28
31/12/2062,10122307680,0.26
31/12/2063,10147949120,0.25
31/12/2064,10172513780,0.24
31/12/2065,10195964900,0.23
31/12/2066,10218273020,0.22
31/12/2067,10239583780,0.21
31/12/2068,10259872990,0.2
31/12/2069,10279074870,0.19
31/12/2070,10297166710,0.18
31/12/2071,10314142300,0.16
31/12/2072,10330059850,0.15
31/12/2073,10344891490,0.14
31/12/2074,10358552760,0.13
31/12/2075,10370994200,0.12
31/12/2076,10382180400,0.11
31/12/2077,10392082000,0.1
31/12/2078,10400749750,0.08
31/12/2079,10408266920,0.07
31/12/2080,10414637190,0.06
31/12/2081,10419851490,0.05
31/12/2082,10424022900,0.04
31/12/2083,10427226400,0.03
31/12/2084,10429447400,0.02
31/12/2085,10430679100,0.01
31/12/2086,10430926280,0
31/12/2087,10430267620,-0.01
31/12/2088,10428830630,-0.01
31/12/2089,10426601150,-0.02
31/12/2090,10423541040,-0.03
31/12/2091,10419647130,-0.04
31/12/2092,10414959830,-0.04
31/12/2093,10409491090,-0.05
31/12/2094,10403272150,-0.06
31/12/2095,10396305840,-0.07
31/12/2096,10388517150,-0.07
31/12/2097,10379888450,-0.08
31/12/2098,10370445200,-0.09
31/12/2099,10360269360,-0.1
31/12/2100,10349323040,-0.11
